life,death,model
30,0,TOSHIBA MQ01ABF050
30,0,TOSHIBA MQ01ABF050
30,0,TOSHIBA MQ01ABF050
30,0,TOSHIBA MQ01ABF050
67,0,TOSHIBA MQ01ABF050
30,0,TOSHIBA MQ01ABF050
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
786,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
810,0,TOSHIBA MD04ABA400V
606,0,TOSHIBA MD04ABA400V
941,0,TOSHIBA MD04ABA400V
862,0,TOSHIBA MD04ABA400V
255,0,TOSHIBA MD04ABA400V
30,0,TOSHIBA MQ01ABF050
30,0,TOSHIBA MQ01ABF050
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
40,1,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
288,1,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
927,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
677,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
968,0,HGST HUH728080ALE600
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
24,1,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
76,1,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
52,1,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
607,1,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
863,0,TOSHIBA MD04ABA400V
414,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
428,0,TOSHIBA MQ01ABF050
419,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
419,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
343,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
419,0,TOSHIBA MQ01ABF050
419,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
419,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
470,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
448,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
148,0,TOSHIBA MQ01ABF050
241,0,TOSHIBA MQ01ABF050
148,0,TOSHIBA MQ01ABF050
283,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
148,0,TOSHIBA MQ01ABF050
116,0,TOSHIBA MQ01ABF050
148,0,TOSHIBA MQ01ABF050
296,0,TOSHIBA MQ01ABF050
241,0,TOSHIBA MQ01ABF050
77,0,TOSHIBA MQ01ABF050
191,0,TOSHIBA MQ01ABF050
241,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
116,0,TOSHIBA MQ01ABF050
419,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
419,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
458,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
414,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
190,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
234,0,TOSHIBA MQ01ABF050
148,0,TOSHIBA MQ01ABF050
201,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
234,0,TOSHIBA MQ01ABF050
148,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
298,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
37,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
24,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
9,0,TOSHIBA MQ01ABF050
1191,0,ST3160318AS
1281,0,ST3160318AS
914,0,ST3160318AS
848,0,ST3160318AS
980,0,ST3160318AS
1287,0,ST3160318AS
896,0,ST3160318AS
914,0,ST3160318AS
751,1,ST3160318AS
914,0,ST3160318AS
915,0,ST3160318AS
1315,0,ST3160318AS
981,0,ST3160318AS
475,1,ST3160318AS
922,0,ST3160318AS
896,0,ST3160318AS
1324,1,ST3160318AS
1324,0,ST3160318AS
1161,0,ST3160318AS
277,1,ST3160318AS
1324,0,ST3160318AS
1324,0,ST3160318AS
807,0,ST31500541AS
999,0,ST31500541AS
999,0,ST31500541AS
947,0,ST31500541AS
441,0,ST32000542AS
812,0,ST31500541AS
812,0,ST31500541AS
1016,0,ST31500541AS
1634,0,ST31500541AS
1000,0,ST31500541AS
1000,0,ST31500541AS
336,0,ST320005XXXX
979,0,ST31500541AS
979,0,ST31500541AS
1000,0,ST31500541AS
1000,0,ST31500541AS
811,0,ST31500541AS
735,0,ST31500541AS
950,0,ST31500541AS
979,0,ST31500541AS
477,0,ST32000542AS
1010,0,ST31500541AS
735,0,ST31500541AS
1010,0,ST31500541AS
979,0,ST31500541AS
811,0,ST31500541AS
999,0,ST31500541AS
999,0,ST31500541AS
789,0,ST31500541AS
336,0,ST32000542AS
852,0,ST31500541AS
118,1,ST31500541AS
979,0,ST31500541AS
999,0,ST31500541AS
407,1,ST320005XXXX
336,0,ST320005XXXX
979,0,ST31500541AS
979,0,ST31500541AS
412,0,ST32000542AS
1113,0,ST31500541AS
407,1,ST320005XXXX
1634,0,ST31500541AS
726,0,ST31500541AS
1000,0,ST31500541AS
828,0,ST31500541AS
1634,0,ST31500541AS
979,0,ST31500541AS
349,1,ST31500541AS
979,0,ST31500541AS
929,0,ST31500541AS
950,0,ST31500541AS
938,0,ST31500541AS
811,0,ST31500541AS
812,0,ST31500541AS
813,0,ST31500541AS
938,0,ST31500541AS
813,0,ST31500541AS
188,1,ST31500541AS
1634,0,ST31500541AS
1000,0,ST31500541AS
9,1,ST31500541AS
811,0,ST31500541AS
812,0,ST31500541AS
811,0,ST31500541AS
810,0,ST31500541AS
813,0,ST31500541AS
1634,0,ST31500541AS
950,0,ST31500541AS
999,0,ST31500541AS
999,0,ST31500541AS
999,0,ST31500541AS
706,1,ST31500541AS
999,0,ST31500541AS
817,0,ST31500541AS
929,0,ST31500541AS
810,0,ST31500541AS
1634,0,ST31500541AS
947,0,ST31500541AS
985,0,ST31500541AS
1113,0,ST31500541AS
810,0,ST31500541AS
813,0,ST31500541AS
938,0,ST31500541AS
811,0,ST31500541AS
811,0,ST31500541AS
811,0,ST31500541AS
1113,0,ST31500541AS
999,0,ST31500541AS
812,0,ST31500541AS
291,0,ST31500541AS
782,0,ST31500541AS
572,1,ST31500541AS
979,0,ST31500541AS
812,0,ST31500541AS
999,0,ST31500541AS
950,0,ST31500541AS
1010,0,ST31500541AS
558,1,ST31500541AS
947,0,ST31500541AS
979,0,ST31500541AS
947,0,ST31500541AS
789,0,ST31500541AS
1634,0,ST31500541AS
813,0,ST31500541AS
810,0,ST31500541AS
1000,0,ST31500541AS
812,0,ST31500541AS
950,0,ST31500541AS
744,0,ST31500541AS
398,1,ST31500541AS
812,0,ST31500541AS
929,0,ST31500541AS
811,0,ST31500541AS
929,0,ST31500541AS
929,0,ST31500541AS
37,1,ST31500541AS
812,0,ST31500541AS
813,0,ST31500541AS
999,0,ST31500541AS
782,0,ST31500541AS
1113,0,ST31500541AS
811,0,ST31500541AS
29,1,ST31500541AS
1113,0,ST31500541AS
929,0,ST31500541AS
810,0,ST31500541AS
811,0,ST31500541AS
810,0,ST31500541AS
938,0,ST31500541AS
812,0,ST31500541AS
810,0,ST31500541AS
999,0,ST31500541AS
950,0,ST31500541AS
950,0,ST31500541AS
811,0,ST31500541AS
810,0,ST31500541AS
131,0,ST31500541AS
811,0,ST31500541AS
810,0,ST31500541AS
811,0,ST31500541AS
811,0,ST31500541AS
811,0,ST31500541AS
716,1,ST31500541AS
1113,0,ST31500541AS
1000,0,ST31500541AS
813,0,ST31500541AS
813,0,ST31500541AS
1000,0,ST31500541AS
813,0,ST31500541AS
947,0,ST31500541AS
811,0,ST31500541AS
1634,0,ST31500541AS
810,0,ST31500541AS
938,0,ST31500541AS
811,0,ST31500541AS
929,0,ST31500541AS
632,1,ST31500541AS
782,0,ST31500541AS
884,1,ST31500541AS
813,0,ST31500541AS
950,0,ST31500541AS
950,0,ST31500541AS
938,0,ST31500541AS
1113,0,ST31500541AS
125,1,ST31500541AS
811,0,ST31500541AS
810,0,ST31500541AS
131,0,ST31500541AS
938,0,ST31500541AS
938,0,ST31500541AS
938,0,ST31500541AS
447,1,ST31500541AS
810,0,ST31500541AS
810,0,ST31500541AS
1000,0,ST31500541AS
811,0,ST31500541AS
810,0,ST31500541AS
929,0,ST31500541AS
929,0,ST31500541AS
516,1,ST31500541AS
938,0,ST31500541AS
813,0,ST31500541AS
744,0,ST31500541AS
852,0,ST31500541AS
813,0,ST31500541AS
813,0,ST31500541AS
1000,0,ST31500541AS
1000,0,ST31500541AS
811,0,ST31500541AS
812,0,ST31500541AS
810,0,ST31500541AS
947,0,ST31500541AS
985,0,ST31500541AS
853,1,ST31500541AS
1000,0,ST31500541AS
979,0,ST31500541AS
735,0,ST31500541AS
950,0,ST31500541AS
999,0,ST31500541AS
999,0,ST31500541AS
999,0,ST31500541AS
852,0,ST31500541AS
544,0,ST31500541AS
744,0,ST31500541AS
999,0,ST31500541AS
999,0,ST31500541AS
105,0,ST320005XXXX
796,0,ST31500541AS
999,0,ST31500541AS
800,0,ST31500541AS
684,0,ST31500541AS
950,0,ST31500541AS
350,0,ST31500541AS
999,0,ST31500541AS
1016,0,ST31500541AS
719,0,ST31500541AS
755,0,ST32000542AS
1016,0,ST31500541AS
744,0,ST31500541AS
772,0,ST31500541AS
985,0,ST31500541AS
811,0,ST31500541AS
810,0,ST31500541AS
755,0,ST32000542AS
544,0,ST31500541AS
810,0,ST31500541AS
852,0,ST31500541AS
105,0,ST32000542AS
1016,0,ST31500541AS
947,0,ST31500541AS
979,0,ST31500541AS
1634,0,ST31500541AS
477,0,ST32000542AS
813,0,ST31500541AS
811,0,ST31500541AS
308,0,ST31500541AS
349,1,ST31500541AS
613,1,ST31500541AS
621,0,ST31500541AS
600,0,ST31500541AS
1113,0,ST31500541AS
726,0,ST32000542AS
813,0,ST31500541AS
55,1,ST32000542AS
715,0,ST31500541AS
91,1,ST31500541AS
652,1,ST31500541AS
105,0,ST32000542AS
1113,0,ST31500541AS
131,0,ST32000542AS
909,0,ST31500541AS
131,0,ST31500541AS
799,0,ST31500541AS
800,0,ST31500541AS
781,0,ST31500541AS
90,1,ST31500541AS
726,0,ST32000542AS
915,0,ST31500541AS
769,1,ST31500541AS
588,1,ST31500541AS
813,0,ST31500541AS
979,0,ST31500541AS
810,0,ST31500541AS
1000,0,ST31500541AS
291,0,ST31500541AS
407,0,ST32000542AS
811,0,ST31500541AS
979,0,ST31500541AS
308,0,ST31500541AS
799,0,ST31500541AS
62,1,ST31500541AS
810,0,ST31500541AS
131,0,ST31500541AS
131,0,ST31500541AS
799,0,ST31500541AS
684,1,ST31500541AS
798,0,ST31500541AS
811,0,ST31500541AS
852,0,ST31500541AS
700,0,ST31500541AS
294,1,ST31500541AS
979,0,ST31500541AS
979,0,ST31500541AS
516,1,ST31500541AS
42,1,ST32000542AS
979,0,ST31500541AS
407,0,ST32000542AS
789,0,ST31500541AS
726,0,ST32000542AS
755,0,ST32000542AS
755,0,ST32000542AS
477,0,ST32000542AS
734,1,ST32000542AS
407,0,ST32000542AS
349,0,ST31500541AS
1113,0,ST31500541AS
796,0,ST31500541AS
477,0,ST32000542AS
950,0,ST31500541AS
376,0,ST31500541AS
272,1,ST31500541AS
789,0,ST31500541AS
402,0,ST32000542AS
979,0,ST31500541AS
1000,0,ST31500541AS
551,1,ST31500541AS
462,1,ST32000542AS
127,0,ST32000542AS
938,0,ST31500541AS
376,0,ST31500541AS
938,0,ST31500541AS
407,0,ST32000542AS
412,0,ST32000542AS
601,1,ST31500541AS
208,1,ST32000542AS
755,0,ST32000542AS
407,0,ST32000542AS
985,0,ST31500541AS
496,0,ST32000542AS
811,0,ST31500541AS
336,0,ST32000542AS
336,0,ST32000542AS
336,0,ST32000542AS
282,1,ST32000542AS
878,1,ST31500541AS
407,0,ST32000542AS
336,0,ST32000542AS
336,0,ST32000542AS
496,1,ST32000542AS
5,1,ST32000542AS
496,0,ST32000542AS
188,1,ST32000542AS
477,0,ST32000542AS
105,0,ST32000542AS
811,0,ST31500541AS
538,0,ST32000542AS
336,0,ST32000542AS
502,1,ST31500541AS
274,0,ST32000542AS
517,0,ST32000542AS
496,0,ST32000542AS
105,0,ST32000542AS
